id,spam,sikap,emosi,catatan
DX8xO2EDutM#425,0,kritik_peradilan,marah,tuntut balik jaksa
DaR6fCMxfe-#1378,0,tak_jelas,netral,trims jelas
DaM_18rj5OO#1502,0,kritik_peradilan,marah,hakim dipanggil malaikat maut
DaM_18rj5OO#7189,0,kritik_peradilan,marah,keluarga hakim tak malu
DaNC_lKSytw#8417,0,pro_nadiem,harapan,minta tolong allah semangat
DaNC_lKSytw#9224,0,pro_nadiem,duka,orang baik jadi tumbal rezim
DaNC_lKSytw#9173,0,kritik_pemerintah,sinis,this country is a joke
DaM_18rj5OO#2393,0,kritik_peradilan,marah,siapa nama hakim
DaM_18rj5OO#4531,0,pro_nadiem,netral,kejebak
DaR6fCMxfe-#1805,0,kontra_nadiem,sinis,pembela nangis padahal koruptor
DaM_18rj5OO#3965,0,kritik_pemerintah,sinis,negara ngelawak
DUdN5deExTD#577,0,tak_jelas,sinis,tawa
DYSQkY4RX2K#252,0,kontra_nadiem,netral,tak mau ngabdi negara
DON94SnAD_0#108,0,tak_jelas,netral,mendikbud
DaR6fCMxfe-#349,0,kritik_pemerintah,sinis,tuduhan buzzer briefing
Dao9wWaDKzY#30,1,tak_jelas,netral,spam judi ZOYAMAX
DaNC_lKSytw#5751,0,pro_nadiem,marah,ngeri buzzer jelekin nadiem
DUdN5deExTD#1048,0,kontra_nadiem,netral,menteri harusnya tahu anak buah ngaco
DaNC_lKSytw#7714,0,pro_nadiem,harapan,tenang allah datangkan pertolongan
DaNC_lKSytw#387,0,pro_nadiem,harapan,jangan takut ojol bergerak bebaskan
DaR6fCMxfe-#1520,0,tak_jelas,netral,baru paham
DYR3czaxB9E#4048,0,tak_jelas,netral,emoji kaget
DaM_18rj5OO#15520,0,pro_nadiem,harapan,hasbunallah tawakal
DYR3czaxB9E#4972,0,pro_nadiem,duka,nangis bapak
DaM_18rj5OO#1789,0,kritik_peradilan,marah,tak pantas dipanggil iblis
DaNC_lKSytw#8248,0,kontra_nadiem,sinis,tanya sidang dadang memudar
DaM_18rj5OO#480,0,kritik_peradilan,sinis,yang tidak mulia
DaM_18rj5OO#11964,0,tak_jelas,netral,gibberish
DUdN5deExTD#571,0,kritik_pemerintah,sinis,audit PPK instansi pemerintah
DaNC_lKSytw#7142,0,kritik_peradilan,duka,hasil gaji naik begini
DaNC_lKSytw#4251,0,kritik_peradilan,marah,hakim vonis tanpa bukti nuruti berduit
DaM_18rj5OO#5399,0,kritik_peradilan,marah,terang-terangan rusak bukti gaada
DTVFd_Rk-KJ#64,0,pro_nadiem,duka,apa dosa nadiem
DaM_18rj5OO#15659,0,pro_nadiem,duka,sekelas nadiem apalagi rakyat UMR
DaM_18rj5OO#5518,0,kritik_peradilan,marah,spill ig hakim
DaNC_lKSytw#1562,0,pro_nadiem,harapan,hanya allah bisa menolong doa
DYR3czaxB9E#11,0,tak_jelas,duka,
DaNC_lKSytw#9880,0,kritik_peradilan,duka,siapa tokoh dilindungi
DaM_18rj5OO#10518,0,pro_nadiem,sinis,skenario konoha semoga nadiem sehat
DYR3czaxB9E#145,0,pro_nadiem,harapan,banyak bersaksi semoga allah buka kebenaran
DTVFd_Rk-KJ#221,1,tak_jelas,netral,spam judi PULAU777
DaR6fCMxfe-#3296,0,pro_nadiem,netral,dana dari google argumen pembelaan
DUdN5deExTD#407,0,kritik_pemerintah,sinis,cuma receh dari korupsi sebenarnya
DON94SnAD_0#53,0,kontra_nadiem,netral,pemerintah tak pandang bulu proses hukum
DaM_18rj5OO#15448,0,kritik_peradilan,marah,hukum terpuruk hakim tinggalkan sidang
DaM_18rj5OO#4702,0,kritik_peradilan,sinis,kasus gaib
DYSQkY4RX2K#450,0,kritik_peradilan,duka,kita merasa dicurangi
DaM_18rj5OO#736,0,kritik_peradilan,sinis,buru-buru dp aset
DaNC_lKSytw#7672,0,kritik_pemerintah,sinis,begini punya pemerintah
DYSQkY4RX2K#269,0,kritik_pemerintah,marah,makian penguasa
DaM_18rj5OO#1748,0,kritik_pemerintah,marah,buah memilih pemimpin dungu
DaNC_lKSytw#2080,0,kontra_nadiem,sinis,banyak bela ojol guru tidak
DaM_18rj5OO#15686,0,kritik_peradilan,marah,hakim takut penguasa bukan wakil tuhan
DaM_18rj5OO#617,0,pro_nadiem,harapan,sabar allah maha adil
DON94SnAD_0#24,0,netral_informasional,netral,pertanyaan verifikasi barang distribusi
DaR6fCMxfe-#1808,0,kontra_nadiem,sinis,muka banci korupnya gacor
DaM_18rj5OO#667,0,kritik_pemerintah,marah,negara sakit tuhan dilawan
DYR3czaxB9E#4158,0,tak_jelas,duka,emoji pelukan
DaM_18rj5OO#5609,0,kritik_peradilan,sinis,cair insinuasi
DaM_18rj5OO#3631,0,pro_nadiem,duka,sekelas nadiem apalagi aku merinding
Dao9wWaDKzY#6,1,tak_jelas,netral,spam judi ZOYAMAX
DYR3czaxB9E#3,0,pro_nadiem,harapan,allah bersama nadiem
DON94SnAD_0#51,0,kritik_pemerintah,marah,adili mulyono
Dao9wWaDKzY#41,1,tak_jelas,netral,spam judi ZOYAMAX
DaM_18rj5OO#11329,0,kritik_pemerintah,sinis,tanda kiamat orang tak takut tuhan
DaM_18rj5OO#15057,0,kritik_peradilan,marah,hukum akhirat karena dunia tak adil
DUdN5deExTD#906,0,kritik_peradilan,netral,hukum harus diperbaiki
DUdN5deExTD#591,0,kritik_peradilan,marah,gak masuk akal
Dao9wWaDKzY#36,1,tak_jelas,netral,spam judi ZOYAMAX
DYR3czaxB9E#2543,0,kritik_peradilan,sinis,indonesia kocak
DX8xO2EDutM#11,0,kritik_pemerintah,marah,teddy dibungkam tanya jokowi prabowo
DYR3czaxB9E#3628,0,kritik_pemerintah,marah,kenapa lahir di sini
DYR3czaxB9E#98,0,pro_nadiem,marah,good man doa karma untuk hakim
Dao9wWaDKzY#15,1,tak_jelas,netral,spam judi ZOYAMAX
DaM_18rj5OO#15618,0,tak_jelas,duka,gawat
