id,spam,sikap,emosi,catatan
DYR3czaxB9E#4052,0,kritik_pemerintah,duka,negara jahat pada orang pintar
DaNC_lKSytw#5809,1,tak_jelas,netral,spam judi KOLEMAX
DYmUwyLEbx9#5,0,pro_nadiem,sinis,kritik dakwaan berkas displit untuk mengunci
DaM_18rj5OO#11841,0,kritik_peradilan,netral,
DUdN5deExTD#2,0,kritik_pemerintah,netral,korupsi endemik proyek pemerintah
DON94SnAD_0#33,0,tak_jelas,harapan,
DaNC_lKSytw#7106,0,pro_nadiem,duka,
DaM_18rj5OO#1608,0,pro_nadiem,marah,kutuk hakim + all in nadiem
DYR3czaxB9E#2301,0,pro_nadiem,harapan,
DaNC_lKSytw#4237,0,tak_jelas,sinis,
DYR3czaxB9E#4148,0,tak_jelas,duka,
DaM_18rj5OO#993,0,tak_jelas,marah,
Dao9wWaDKzY#21,1,tak_jelas,netral,spam judi ZOYAMAX
DaM_18rj5OO#14037,0,kritik_pemerintah,marah,salahkan pendukung 02
DaM_18rj5OO#15339,0,kritik_peradilan,sinis,
DaM_18rj5OO#10929,0,kritik_peradilan,netral,
DaM_18rj5OO#6258,0,tak_jelas,netral,tuntutan generik tanpa target
DX8xO2EDutM#82,0,kritik_pemerintah,marah,
DYR3czaxB9E#1623,0,pro_nadiem,harapan,
DYmUwyLEbx9#719,0,tak_jelas,sinis,analogi money heist target kabur
DYR3czaxB9E#26,0,pro_nadiem,harapan,pujian pencipta lapangan kerja
DUdN5deExTD#26,0,kritik_pemerintah,netral,saran hindari bisnis dgn pemerintah
DaM_18rj5OO#1483,0,kritik_peradilan,sinis,
DaM_18rj5OO#6214,0,kritik_peradilan,sinis,
DaM_18rj5OO#1935,0,kritik_peradilan,sinis,
DYmUwyLEbx9#176,0,pro_nadiem,netral,analisis simpatik rekam jejak
DaM_18rj5OO#2806,0,kritik_peradilan,sinis,insinuasi dana cair
DaNC_lKSytw#5621,0,pro_nadiem,harapan,bebaskan yang tidak bersalah
DX8xO2EDutM#23,0,kritik_peradilan,marah,
DaNC_lKSytw#6499,0,pro_nadiem,harapan,
DaM_18rj5OO#7567,0,pro_nadiem,harapan,yakin ada dalang lain
DYR3czaxB9E#2836,0,kritik_peradilan,duka,
DYR3czaxB9E#7,0,pro_nadiem,duka,
DaM_18rj5OO#5203,0,kritik_peradilan,marah,
DaM_18rj5OO#5179,0,kritik_peradilan,sinis,
DaNC_lKSytw#8321,0,pro_nadiem,harapan,
DaNC_lKSytw#245,0,kritik_pemerintah,duka,ragu pada RI1
DUdN5deExTD#584,0,netral_informasional,netral,
DaNC_lKSytw#2901,0,pro_nadiem,harapan,
DaM_18rj5OO#7499,0,kritik_peradilan,sinis,
DaM_18rj5OO#9956,0,kritik_peradilan,sinis,
DUdN5deExTD#1194,0,pro_nadiem,netral,duit receh argumen pembelaan
DYmUwyLEbx9#220,0,netral_informasional,netral,
DaM_18rj5OO#1785,0,kritik_pemerintah,duka,
DaM_18rj5OO#2257,0,kritik_peradilan,marah,
DaNC_lKSytw#1229,0,pro_nadiem,harapan,doa untuk yang terzolimi
DaM_18rj5OO#7697,0,tak_jelas,sinis,
DUdN5deExTD#1057,0,pro_nadiem,harapan,sarkasme kutipan + doa keadilan
DaM_18rj5OO#1418,0,tak_jelas,marah,dzalim tanpa target eksplisit
DaNC_lKSytw#3598,0,tak_jelas,harapan,
DaM_18rj5OO#11854,0,kritik_pemerintah,sinis,referensi vincenzo
DaM_18rj5OO#3070,0,pro_nadiem,harapan,
DYR3czaxB9E#2804,0,pro_nadiem,duka,balasan pemerintah pada penyelamat jutaan
DaNC_lKSytw#9166,0,pro_nadiem,marah,seret jokowi + jangan anak buah jadi tumbal
DaM_18rj5OO#12644,0,tak_jelas,duka,
DaR6fCMxfe-#2431,0,tak_jelas,netral,
DaM_18rj5OO#12298,0,tak_jelas,marah,
DaNC_lKSytw#8138,0,kritik_pemerintah,marah,
DYmUwyLEbx9#466,0,tak_jelas,sinis,tuduhan giring opini target kabur
DaNC_lKSytw#4636,0,tak_jelas,duka,
DaM_18rj5OO#16141,0,kritik_peradilan,netral,
DaNC_lKSytw#7751,0,tak_jelas,duka,
DaM_18rj5OO#10846,0,kritik_peradilan,marah,
DaM_18rj5OO#5969,0,kritik_peradilan,marah,
DaR6fCMxfe-#2749,0,kontra_nadiem,marah,ragu sarkasme - buat yg paham aja
DaR6fCMxfe-#2574,0,tak_jelas,netral,puji pembicara video
DaM_18rj5OO#8502,0,kritik_peradilan,sinis,permainan terlihat
DX8xO2EDutM#310,0,kritik_peradilan,sinis,
DON94SnAD_0#42,0,pro_nadiem,netral,pembelaan manfaat chromebook
DaM_18rj5OO#15625,0,kritik_peradilan,sinis,
