id,spam,sikap,emosi,catatan
DYR3czaxB9E#38,0,tak_jelas,duka,
DaM_18rj5OO#2357,0,kritik_peradilan,sinis,
DaM_18rj5OO#1744,0,pro_nadiem,duka,ikut sakit hati = duka solidaritas
DX8xO2EDutM#374,0,pro_nadiem,marah,tuntutan bebaskan eksplisit + serangan jaksa
DYR3czaxB9E#4836,0,pro_nadiem,duka,
DYR3czaxB9E#10,0,tak_jelas,duka,
DTVFd_Rk-KJ#233,1,tak_jelas,netral,spam judi
DaR6fCMxfe-#816,0,pro_nadiem,netral,pembelaan substantif ekosistem Google
DUdN5deExTD#1553,0,tak_jelas,marah,
DUdN5deExTD#7,0,tak_jelas,sinis,
DaNC_lKSytw#9932,0,pro_nadiem,harapan,ajakan donasi solidaritas
DYSQkY4RX2K#243,0,pro_nadiem,marah,usul protes shutdown gojek
DYR3czaxB9E#4677,0,pro_nadiem,harapan,
DaNC_lKSytw#2142,0,netral_informasional,netral,
DYR3czaxB9E#324,0,kritik_peradilan,marah,kontras vonis kasus lain
DYR3czaxB9E#1651,0,tak_jelas,duka,sakit hati tanpa rujukan peristiwa
DUdN5deExTD#1069,0,pro_nadiem,sinis,framing tumbal
DYR3czaxB9E#1519,0,tak_jelas,duka,
DaM_18rj5OO#16114,0,kritik_peradilan,sinis,
DaM_18rj5OO#15742,0,kritik_pemerintah,sinis,
DaM_18rj5OO#10496,0,kritik_peradilan,sinis,
DUdN5deExTD#191,0,kritik_pemerintah,marah,tuntut berantas judol
DaNC_lKSytw#6447,0,tak_jelas,harapan,ajakan bergerak tanpa target eksplisit
DaR6fCMxfe-#3285,0,kontra_nadiem,sinis,ejek pembela koruptor tertangkap
DYR3czaxB9E#1444,0,pro_nadiem,harapan,
DUdN5deExTD#1655,0,tak_jelas,sinis,
DaM_18rj5OO#1563,0,kritik_peradilan,marah,
DYR3czaxB9E#4135,0,kritik_pemerintah,marah,
DaR6fCMxfe-#1802,0,kritik_peradilan,sinis,kontras MBG vs beratnya hukuman ini
DaNC_lKSytw#6520,0,pro_nadiem,duka,
DYR3czaxB9E#4885,0,pro_nadiem,sinis,korban istana busuk
DaNC_lKSytw#361,0,tak_jelas,duka,
DaM_18rj5OO#1379,0,kritik_peradilan,marah,
DON94SnAD_0#69,0,netral_informasional,netral,pertanyaan kronologi - ragu retoris
DaM_18rj5OO#5909,0,tak_jelas,sinis,facepalm
DUdN5deExTD#474,0,pro_nadiem,netral,menyalahkan orang lama
DYR3czaxB9E#1607,0,pro_nadiem,harapan,
DaM_18rj5OO#13073,0,kritik_peradilan,marah,
DaNC_lKSytw#5810,1,tak_jelas,netral,spam judi KOLEMAX
DYR3czaxB9E#1524,0,tak_jelas,netral,referen icobozz tak jelas
DTVFd_Rk-KJ#53,0,kritik_pemerintah,sinis,
DTVFd_Rk-KJ#174,1,tak_jelas,netral,spam judi
DYSQkY4RX2K#56,0,pro_nadiem,harapan,
DaM_18rj5OO#4078,0,kritik_pemerintah,duka,
DTVFd_Rk-KJ#264,1,tak_jelas,netral,spam judi
DYmUwyLEbx9#306,0,kontra_nadiem,sinis,penjahat dapat keadilan + tuduhan buzzer
DaR6fCMxfe-#631,0,tak_jelas,harapan,
DUdN5deExTD#1352,0,pro_nadiem,harapan,dorongan buka semua
DaNC_lKSytw#4232,0,tak_jelas,harapan,dorongan gojek bertindak tanpa target
DaM_18rj5OO#10335,0,kritik_peradilan,sinis,
DUdN5deExTD#1113,0,kritik_pemerintah,marah,
DON94SnAD_0#110,0,kritik_pemerintah,sinis,tuduhan pengalihan isu
DaNC_lKSytw#4654,0,kritik_pemerintah,marah,
DaNC_lKSytw#8083,0,pro_nadiem,harapan,
DaM_18rj5OO#2736,0,kritik_peradilan,marah,
DaM_18rj5OO#8245,0,kritik_peradilan,marah,doa ajal untuk hakim
DaNC_lKSytw#2225,0,kritik_peradilan,sinis,kontras vonis 271T
DUdN5deExTD#1145,0,kritik_pemerintah,sinis,ejekan kementerian - target institusi
DaM_18rj5OO#12437,0,kritik_peradilan,sinis,vonis pesanan
DaM_18rj5OO#13695,0,kritik_peradilan,sinis,hadis 2 dari 3 hakim
DaR6fCMxfe-#1004,0,kritik_pemerintah,netral,tanggung jawab atasan presiden
DaNC_lKSytw#9891,0,kritik_pemerintah,sinis,
DTVFd_Rk-KJ#100,0,kritik_peradilan,sinis,kasus pesanan
DON94SnAD_0#19,0,tak_jelas,netral,satu kata alhamdulillah
DaR6fCMxfe-#1328,0,tak_jelas,netral,
DaM_18rj5OO#3652,0,tak_jelas,sinis,deiksis butuh gambar
DON94SnAD_0#83,0,netral_informasional,netral,tuntut periksa pemenang pengadaan
DaM_18rj5OO#2114,0,kritik_peradilan,marah,
DTVFd_Rk-KJ#218,1,tak_jelas,netral,spam judi
DYR3czaxB9E#2220,0,tak_jelas,harapan,
