id,spam,sikap,emosi,catatan
DaNC_lKSytw#5817,1,tak_jelas,netral,spam judi KOLEMAX
Dao9wWaDKzY#3,1,tak_jelas,netral,spam judi ZOYAMAX
DYR3czaxB9E#3312,0,tak_jelas,sinis,sedih+tawa campur
DUdN5deExTD#1510,0,kritik_pemerintah,marah,doa azab pejabat korup
DaM_18rj5OO#2686,0,kritik_peradilan,sinis,pelesetan yang mulia
DaNC_lKSytw#4832,0,tak_jelas,netral,
Dao9wWaDKzY#11,1,tak_jelas,netral,spam judi ZOYAMAX
DaM_18rj5OO#10918,0,kritik_peradilan,sinis,mulia? ironi sebutan hakim
DaM_18rj5OO#9269,0,tak_jelas,sinis,tak malu target kabur
DaR6fCMxfe-#1540,0,kontra_nadiem,netral,dukung narasi harga mahal periksa semua
DUdN5deExTD#857,0,kontra_nadiem,sinis,nadiem ancurin pendidikan
DYmUwyLEbx9#237,0,pro_nadiem,netral,nadiem tutup celah korupsi
DaNC_lKSytw#8748,0,netral_informasional,netral,serius tanya vonis
DaNC_lKSytw#5735,0,kritik_pemerintah,marah,harap aliran dana ke jokowi kualat
DYSQkY4RX2K#600,0,kritik_pemerintah,sinis,sindir sri mulyani aman
DaR6fCMxfe-#1574,0,kontra_nadiem,sinis,sarkasme bela nadiem = bela korupsi
DUdN5deExTD#875,0,pro_nadiem,sinis,atas sehat bawah busuk
DaNC_lKSytw#4652,0,tak_jelas,netral,tag media internasional tanpa teks
DaM_18rj5OO#3949,0,kritik_pemerintah,sinis,bos nadiem jokowi biar aman
DYR3czaxB9E#1202,0,tak_jelas,duka,
DUdN5deExTD#958,0,kritik_pemerintah,marah,gara-gara jokowi
DaM_18rj5OO#3186,0,kritik_peradilan,sinis,titipan/pesanan
DaM_18rj5OO#249,0,kritik_peradilan,duka,sakit sampai ke hakim
DaM_18rj5OO#175,0,pro_nadiem,harapan,dizolimi negara + pengadilan akhirat
DaM_18rj5OO#7827,0,kritik_peradilan,sinis,insinuasi cairin dana
DaM_18rj5OO#10810,0,tak_jelas,sinis,
DYSQkY4RX2K#553,0,kritik_peradilan,sinis,kontras IKN jokowi tak diadili
DaM_18rj5OO#13644,0,kritik_peradilan,sinis,tidak mulia
DaNC_lKSytw#3081,0,kontra_nadiem,sinis,ejek pembela koruptor
DYR3czaxB9E#1111,0,tak_jelas,duka,pasrah takdir
DYR3czaxB9E#3279,0,pro_nadiem,harapan,saran bikin gojek baru
DYR3czaxB9E#2974,0,pro_nadiem,duka,tuhan sertai + indonesia tak baik
DaR6fCMxfe-#2131,0,kontra_nadiem,sinis,orang pintar minterin
DYR3czaxB9E#1288,0,kritik_pemerintah,marah,indonesia aneh edan
DaNC_lKSytw#7952,0,kritik_peradilan,duka,tidak percaya tuhan pasti ada keadilan
DON94SnAD_0#44,0,netral_informasional,netral,analogi SOP kantor
DaM_18rj5OO#4826,0,kritik_peradilan,marah,pengadilan tidak benar ajakan pertahankan
DaR6fCMxfe-#1028,0,tak_jelas,netral,mention akun saja
DaM_18rj5OO#4848,0,kritik_pemerintah,sinis,grasi modal 2029
DaM_18rj5OO#11938,0,kritik_peradilan,marah,ancaman kematian/azab hakim
DYR3czaxB9E#261,0,pro_nadiem,duka,
DaM_18rj5OO#3173,0,kritik_peradilan,marah,makian ke hakim
DaNC_lKSytw#13,0,pro_nadiem,netral,tak ada aliran dana + tanya siapa diuntungkan
DYSQkY4RX2K#199,0,kritik_pemerintah,sinis,indonesia bubar
DaNC_lKSytw#12,0,netral_informasional,netral,tanya musuh nadiem
DYSQkY4RX2K#57,0,kritik_pemerintah,sinis,negara apa sih
DYmUwyLEbx9#434,0,pro_nadiem,netral,BPK bilang tak ada kerugian negara
DaNC_lKSytw#7461,0,pro_nadiem,duka,klarifikasi simpatik
DaM_18rj5OO#8750,0,pro_nadiem,duka,kasihan bapak
DaNC_lKSytw#3692,0,pro_nadiem,harapan,ajakan tetap jujur
DaM_18rj5OO#13111,0,kritik_peradilan,marah,hadis dua hakim neraka
DUdN5deExTD#9,0,pro_nadiem,harapan,tenang yakin tak salah
DaNC_lKSytw#8881,0,pro_nadiem,harapan,i stand by u
DYR3czaxB9E#459,0,tak_jelas,duka,
DaNC_lKSytw#6681,0,tak_jelas,duka,WNI bingung
DaM_18rj5OO#12490,0,kritik_peradilan,sinis,konyol
DaM_18rj5OO#7413,0,kritik_pemerintah,sinis,siapapun presiden tak tertolong
DTVFd_Rk-KJ#134,0,kontra_nadiem,marah,ayo ahok bongkar otaknya
DaNC_lKSytw#7111,0,pro_nadiem,harapan,semangat orang zalim jatuh sendiri
DX8xO2EDutM#329,0,pro_nadiem,netral,ringkas argumen pembebasan tim hukum
DON94SnAD_0#2,0,pro_nadiem,duka,pembelaan manfaat chromebook + percaya orang baik
DaNC_lKSytw#1782,0,tak_jelas,harapan,
DaNC_lKSytw#5606,0,pro_nadiem,harapan,percaya nadiem 100%
DaNC_lKSytw#5795,1,tak_jelas,netral,spam judi KOLEMAX
DaM_18rj5OO#12272,0,pro_nadiem,duka,bantu 19jt lapangan kerja
DUdN5deExTD#1099,0,kritik_pemerintah,sinis,SDM teriak tikus padahal tikusnya sendiri
DYR3czaxB9E#4277,0,pro_nadiem,duka,orang baik + RIP hukum indonesia
DYR3czaxB9E#3204,0,pro_nadiem,sinis,ada yg tak mau indonesia maju
DYR3czaxB9E#154,0,tak_jelas,duka,
DaM_18rj5OO#12966,0,tak_jelas,sinis,gawat
